	PRODUTO	PREÇO
0	Sociologia Do Brasil - De Mascaro Leandro - Vol 1 Editorial Boitempo Editorial - Capa Mole - Edição 1 Em Português - 2024	R$36.16
1	Para novos gerentes (10 leituras essenciais - HBR): O que significa estar no comando - os mitos e equívocos mais comuns e como alcançar os melhores resultados em equipe para sua empresa - de Harvard Bus	R$35.00
2	Para minha mãe - de Vliet - Elma van Um livro sobre nós Editorial GMT Editores Ltda -Editora Sextante -Editora Sextante - capa dura em português - 2022	R$30.00
3	Livro Marcha criança 4ª Edição Ciências 1º Ano 2022 em Português Editora Scipione	R$78.00
4	Os jacobinos negros: Toussaint L'Ouverture e a revolução de São Domingos - de James - C R L Editora Jinkings editores associados LTDA-EPP - capa mole em português - 2000	R$49.00
5	Mãe - me conta sua história? - de Elma van Vliet Editora Sextante - capa dura em português - 2019	R$43.00
6	Outros jeitos de usar a boca - de Kaur - Rupi Editorial Editora Planeta do Brasil Ltda - tapa mole en português - 2017	R$31.00
7	Desafios da gestão (10 leituras essenciais - HBR): Uma introdução às mais influentes ideias da Harvard Business Review - de Harvard Business Review 10 leituras essenciais - HBR Editorial GMT Editores	R$32.00
8	Nutrição Comportamental - De Alvarenga - Marle/ Figueiredo - Manoela/ Timerman - Fernanda/ Antonaccio - Cynthia Editora Manole Ltda - Capa Mole - Edição 2ª Edição Em Português - 2018	R$65.00
9	O livro de ouro da mitologia: Histórias de deuses e heróis - de Bulfinch - Thomas Editorial Casa dos Livros Editora Ltda - capa mole em português - 2017	R$25.00
10	Brevidade Inteligente - De Jim Vandehei Editora Sextante - Capa Mole Em Português - 2023	R$33.00
11	Além Da Ordem: Mais 12 Regras Para A Vida - Editora Alta Books	R$31.00
12	Frankenstein - de Shelley - Mary Reecontro Infantil Editorial Somos Sistema de Ensino - tapa mole en português - 2000	R$34.00
13	Livro Vamos Conversar: Um Pequeno Anti Manual De Comunicação Não Violenta Para A Vida Real De Elisama Santos Da Editora Paz & Terra	R$24.00
14	Microbiologia de Brock - de Madigan - Michael T Editorial ARTMED EDITORA LTDA -Pearson Education -Inc - tapa mole en português - 2016	R$417.00
15	O golpe - de Pinheiro - Robson Editorial Casa dos Espíritos Editora Ltda - capa mole em português - 2017	R$49.00
