	PRODUTO	PREÇO	LOCALIDADE	PÁGINA NA LOJA
0	Aluguel, apartamento mobiliado	R$3.000,00	Salvador, Jardim das Margaridas	https://ba.olx.com.br/grande-salvador/imoveis/aluguel-apartamento-mobiliado-1371593207
1	Casa Térreo Excelente 1/4, sala, cozinha, varanda, banheiro	R$600,00	Salvador, Fazenda Grande do Retiro	https://ba.olx.com.br/grande-salvador/imoveis/casa-terreo-excelente-1-4-sala-cozinha-varanda-banheiro-1362308197
2	Quarto e sala na Graça	----	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/quarto-e-sala-na-graca-1368612470
3	APARTAMENTO ABSOLUTTO IMBUI - EXCELENTE. NASCENTE! Villa Anaiti.	R$4.200,00	Salvador, Imbuí	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-absolutto-imbui-excelente-nascente-villa-anaiti-1371200086
4	2/4, Cajazeiras VI, condominio fechado, térreo, ótima localização, prédio em bom estado.	R$600,00	Salvador, Cajazeiras VI	https://ba.olx.com.br/grande-salvador/imoveis/2-4-cajazeiras-vi-condominio-fechado-terreo-otima-localizacao-predio-em-bom-estado-1373646705
5	Imóvel para aluguel com 40 metros quadrados com 1 quarto em Stiep - Salvador - BA	R$1.700,00	Salvador, Stiep	https://ba.olx.com.br/grande-salvador/imoveis/imovel-para-aluguel-com-40-metros-quadrados-com-1-quarto-em-stiep-salvador-ba-1373646311
6	Apartamento para alugar	R$2.200,00	Lauro de Freitas, Centro	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-alugar-1373646205
7	ALUGO - 3/4 com varanda no Itaigara	R$4.683,00	Salvador, Itaigara	https://ba.olx.com.br/grande-salvador/imoveis/alugo-3-4-com-varanda-no-itaigara-1373645516
8	*APARTAMENTO COND DAS ORQUÍDEAS(CENTRO) PARA LOCAÇÃO	R$1.400,00	Camaçari, Centro	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-cond-das-orquideas-centro-para-locacao-1373645496
9	Aluga-se para Carnaval	R$1.200,00	Salvador, Canela	https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-para-carnaval-1373645231
10	Ponto comercial para alugar no Na Avenida Artêmia no Shopping Garden	R$10.000,00	Feira de Santana, SIM	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/ponto-comercial-para-alugar-no-na-avenida-artemia-no-shopping-garden-1373644668
11	Apartamento no Centro	R$800,00	Feira de Santana, Pedra do Descanso	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/apartamento-no-centro-1373644580
12	Aluga se casa para carnaval ilha Itaparica ponta de areia	R$1.200,00	Itaparica, Amoreira	https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-casa-para-carnaval-ilha-itaparica-ponta-de-areia-1371945080
13	Massarandupio alugo casa	R$600,00	Entre Rios	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/massarandupio-alugo-casa-1373644096
14	Casa no centro Avenida 28 de setembro para locação:	R$5.000,00	Camaçari, Centro	https://ba.olx.com.br/grande-salvador/imoveis/casa-no-centro-avenida-28-de-setembro-para-locacao-1373643992
15	Casa anual/temporada	R$1.000,00	Camaçari, Barra do Jacuípe	https://ba.olx.com.br/grande-salvador/imoveis/casa-anual-temporada-1373642944
16	Imóvel para aluguel e venda com 145 metros quadrados com 3 quartos em Barra - Salvador - B	R$3.000,00	Salvador, Barra	https://ba.olx.com.br/grande-salvador/imoveis/imovel-para-aluguel-e-venda-com-145-metros-quadrados-com-3-quartos-em-barra-salvador-b-1373642872
17	Casa para aluguel em ótima localização!	R$350,00	Salvador, Pau Miúdo	https://ba.olx.com.br/grande-salvador/imoveis/casa-para-aluguel-em-otima-localizacao-1373642795
18	Apartamento no condomínio Vila Romana 2 (Abrantes)	R$900,00	Camaçari, Vila de Abrantes (Abrantes)	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-no-condominio-vila-romana-2-abrantes-1373642731
19	CASA MOBILIADA NO BAIRRO DA NOVA VITÓRIA PARA LOCAÇÃO:	R$800,00	Camaçari, Nova Vitória	https://ba.olx.com.br/grande-salvador/imoveis/casa-mobiliada-no-bairro-da-nova-vitoria-para-locacao-1373640978
20	Apartamento 2 suítes para locação na Ondina	R$6.200,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-2-suites-para-locacao-na-ondina-1373639794
21	Casa Padrão com 1 quarto e sala com banheiro	R$280,00	Camaçari, Quarenta e Seis	https://ba.olx.com.br/grande-salvador/imoveis/casa-padrao-com-1-quarto-e-sala-com-banheiro-1373635316
22	Apartamento com 3 quartos - Excelente localização!	R$1.100,00	Salvador, Massaranduba	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-com-3-quartos-excelente-localizacao-1373633334
23	Apartamento dois quartos por temporada para o Carnaval	R$3.000,00	Salvador, Rio Vermelho	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-dois-quartos-por-temporada-para-o-carnaval-1371003385
24	Casa na fonte do Capim Martins	R$450,00	Salvador, Fazenda Grande do Retiro	https://ba.olx.com.br/grande-salvador/imoveis/casa-na-fonte-do-capim-martins-1373632924
25	1/4, Alphaville, mobiliado, varanda	R$2.800,00	Salvador, Alphaville I	https://ba.olx.com.br/grande-salvador/imoveis/1-4-alphaville-mobiliado-varanda-1373632318
26	CASA DUPLEX PARA LOCAÇÃO NO BAIRRO NOVA VITÓRIA	R$1.200,00	Camaçari, Nova Vitória	https://ba.olx.com.br/grande-salvador/imoveis/casa-duplex-para-locacao-no-bairro-nova-vitoria-1373631958
27	Casa para alugar	R$750,00	Salvador, Barreiras	https://ba.olx.com.br/grande-salvador/imoveis/casa-para-alugar-1373631724
28	Aluga-se casa para CARNAVAL.	R$4.000,00	Camaçari, Arembepe (Abrantes)	https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-casa-para-carnaval-1373631089
29	Aluga-se casa	R$450,00	Salvador, São Cristóvão	https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-casa-1373631094
30	Alugo apartamento em Valença Bahia	R$800,00	Valença	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/alugo-apartamento-em-valenca-bahia-1373627085
31	Alugo casa de 2/4 no bairro Mangabeira, Jardim Europa, no Residencial Fontana	R$850,00	Feira de Santana, Papagaio	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/alugo-casa-de-2-4-no-bairro-mangabeira-jardim-europa-no-residencial-fontana-1373626312
32	Aluga-se casa, Bairro Sao Joao, próx ao Mineirão atacrarejo	R$1.200,00	Bom Jesus da Lapa	https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/imoveis/aluga-se-casa-bairro-sao-joao-prox-ao-mineirao-atacrarejo-1373625922
33	Carnaval- Alugo apartamento 3 quartos no Circuito Barra-Ondina	R$18.000,00	Salvador, Barra	https://ba.olx.com.br/grande-salvador/imoveis/carnaval-alugo-apartamento-3-quartos-no-circuito-barra-ondina-1373625450
